ลำดับ,เลขทะเบียนโรงงาน,FID,TSIC,รหัสประเภท,จำพวก,ปีที่ได้รับอนุญาต,ชื่อโรงงาน,ผู้ประกอบการ,ประกอบกิจการ,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,รหัสจังหวัด,จังหวัด,รหัสไปรษณีย์,โทรศัพท์,ค่าอาคาร,ค่าที่ดิน,ค่าเครื่องจักร,เงินทุนหมุนเวียน,เงินทุนรวม,ชาย,หญิง,คนงานรวม,แรงม้ารวม,พื้นที่โรงงาน,พื้นที่อาคาร
204,ศ3-10(3)-1/34ชบ,2.00E+11,10743,1003,3,34,วราภรณ์ค้าแป้งบางละมุง,วราภรณ์ค้าแป้งบางละมุง,ทำเม็ดสาคู,1-ก.พ.,8,-,-,บางละมุง,บางละมุง,20,ชลบุรี,20150,,0,0,0,0,0,14,6,20,182.2,14000,
205,จ3-10(3)-8/58ชบ,2.02E+13,10743,1003,3,58,ประสานพานิช,ประสานพานิช,ทำเม็ดสาคู,78,9,,,ห้วยใหญ่,บางละมุง,20,ชลบุรี,20150,038-239211,300000,100000,300000,400000,1100000,6,2,8,155,36800,1200
206,จ3-10(3)-17/63ชบ,2.02E+13,10743,1003,3,63,บริษัท คณาทรัพย์พืชผล จำกัด,บริษัท คณาทรัพย์พืชผล จำกัด,ผลิตเม็ดสาคู,101/18,1,,,หนองปรือ,บางละมุง,20,ชลบุรี,20150,089-7721828,23062104.07,0,45369750.47,50800784.75,119232639.3,14,10,24,5940,1178,1178
207,จ3-14-51/64ชบ,2.02E+13,10795,1400,3,64,บริษัท โรงน้ำแข็งพัทยา กิจวารี จำกัด,บริษัท โรงน้ำแข็งพัทยา กิจวารี จำกัด,ทำน้ำแข็งหลอด,โฉนดที่ดินเลขที่ 55768,9,,,โป่ง,บางละมุง,20,ชลบุรี,20150,,5000000,7000000,5000000,2000000,19000000,6,3,9,482,21972,932
208,ศ3-14-3/34ชบ,2.00E+11,10795,1400,3,34,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งบางละมุง,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งบางละมุง,ทำน้ำแข็งก้อนเล็ก,54,12,ชัยพรวิถี,,หนองปรือ,บางละมุง,20,ชลบุรี,20150,249162-3,1000000,0,5000000,800000,6800000,3,6,9,449,9600,600
209,ศ3-14-2/33ชบ,2.00E+11,10795,1400,3,33,โรงน้ำแข็งบางละมุง,โรงน้ำแข็งบางละมุง,ผลิตน้ำแข็งซอง ได้วันละ 894 ซอง,54,12,,ชัยพรวิถี,หนองปรือ,บางละมุง,20,ชลบุรี,20150,,3000000,1600000,6700000,7000000,18300000,19,0,19,1070,9600,600
210,จ3-14-29/53ชบ,2.02E+13,10795,1400,3,53,บริษัท กฤติกา น้ำแข็งหลอด จำกัด,บริษัท กฤติกา น้ำแข็งหลอด จำกัด,ทำน้ำแข็งหลอด,47/8,8,,สุขุมวิท,หนองปลาไหล,บางละมุง,20,ชลบุรี,20150,,5000000,0,35000000,1000000,41000000,11,3,14,1288,2800,1038
211,จ3-14-57/53ชบ,2.02E+13,10795,1400,3,53,พัทยาไอซ์,พัทยาไอซ์,"ผลิตน้ำแข็งหลอด , น้ำดื่ม",127/6,5,บางละมุง 13/1-2,สุขุมวิท,บางละมุง,บางละมุง,20,ชลบุรี,20150,089-9396102/086-0478378,2300000,800000,7700000,11000000,21800000,6,5,11,578,2090,540
212,จ3-14-8/60ชบ,2.02E+13,10795,1400,3,60,บริษัท วารีเทพ พัทยา จำกัด,บริษัท วารีเทพ พัทยา จำกัด,ทำน้ำแข็งก้อนเล็ก,ก.ค.-39,5,,,ห้วยใหญ่,บางละมุง,20,ชลบุรี,20150,095-4659661,10000000,6000000,5000000,2000000,23000000,10,0,10,308.5,11120,544
213,จ3-14-42/61ชบ,2.02E+13,10795,1400,3,61,บริษัท ห้วยยายจีนน้ำแข็งหลอด จำกัด,บริษัท ห้วยยายจีนน้ำแข็งหลอด จำกัด,ทำน้ำแข็งก้อนเล็ก,98/10,6,,,ห้วยใหญ่,บางละมุง,20,ชลบุรี,20150,,0,0,8000000,1000000,9000000,10,5,15,534.74,1531,390
214,จ3-14-25/47ชบ,2.02E+13,10795,1400,3,47,บริษัท กิมป้อน้ำแข็งหลอด จำกัด,บริษัท กิมป้อน้ำแข็งหลอด จำกัด,ทำน้ำแข็งก้อนเล็ก,24-พ.ค.,1,-,ชัยพรวิถี,หนองปรือ,บางละมุง,20,ชลบุรี,20150,,1700000,1000000,4950355,500000,8150355,6,8,14,492,1200,300
215,ศ3-14-1/33ชบ,2.00E+11,10795,1400,3,33,โอฬารน้ำแข็งหลอด,โอฬารน้ำแข็งหลอด,ทำน้ำแข็งก้อนเล็ก ได้วันละ 23.12 ตัน และน้ำดื่ม,36/21,5,นาเกลือ,พัทยา-นากลือ,นาเกลือ,บางละมุง,20,ชลบุรี,20150,422308,300000,300000,4700000,100000,5400000,10,2,12,183,640,160
216,จ3-14-2/38ชบ,2.02E+13,10795,1400,3,38,บริษัท พัทยา ธาราทิพย์ จำกัด,บริษัท พัทยา ธาราทิพย์ จำกัด,ทำน้ำแข็งก้อนเล็กและน้ำดื่ม,18/22,6,-,-,หนองปรือ,บางละมุง,20,ชลบุรี,20150,731076-77,1000000,0,10000000,5000000,16000000,6,5,11,589,8000,700
217,3-14-1/29ชบ,1.02E+13,10795,1400,3,29,บริษัท กิมป้อน้ำแข็งหลอด จำกัด,บริษัท กิมป้อน้ำแข็งหลอด จำกัด,ทำน้ำแข็งก้อนเล็ก,267,5,,นาเกลือ-พัทยา,นาเกลือ,บางละมุง,20,ชลบุรี,20150,086-3456136,500000,1000000,2500000,500000,4500000,7,0,7,387.45,500,230
218,จ3-14-17/50ชบ,2.02E+13,10795,1400,3,50,บริษัท พัทยา น้ำแข็งหลอด จำกัด,บริษัท พัทยา น้ำแข็งหลอด จำกัด,ผลิตน้ำแข็งหลอด,127/3,5,,,บางละมุง,บางละมุง,20,ชลบุรี,20150,089-9396102,4000000,3000000,8200000,2000000,17200000,11,6,17,414,940,940
219,จ3-14-22/49ชบ,2.02E+13,10795,1400,3,49,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งบางละมุง,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งบางละมุง,ทำน้ำแข็งหลอด,250,1,,สุขุมวิท,บางละมุง,บางละมุง,20,ชลบุรี,20150,,1000000,8000000,5000000,1000000,15000000,5,1,6,297,2250,607
220,จ3-14-36/50ชบ,2.02E+13,10795,1400,3,50,บริษัท ธนรัฐรพี จำกัด,บริษัท ธนรัฐรพี จำกัด,ผลิตน้ำแข็งก้อนเล็ก,64/6,5,-,-,ห้วยใหญ่,บางละมุง,20,ชลบุรี,20150,,500000,3000000,11200000,200000,14900000,14,0,14,290,5172,864
221,จ3-14-79/57ชบ,2.02E+13,10795,1400,3,57,วารีเทพ บางละมุง,วารีเทพ บางละมุง,ผลิตน้ำแข็งก้อนเล็ก,โฉนดเลขที่ 48847 เลขที่ดิน 13 เล่ม 489 หน้า 97,7,,,ห้วยใหญ่,บางละมุง,20,ชลบุรี,20150,089-8457633,9000000,2400000,14000000,1000000,26400000,7,2,9,735.5,3824,960
222,จ3-14-1/43ชบ,2.02E+13,10795,1400,3,43,ห้างหุ้นส่วนจำกัด มารีนเฟรชเชอร์,ห้างหุ้นส่วนจำกัด มารีนเฟรชเชอร์,ทำน้ำแข็งก้อนเล็กและน้ำดื่ม,19-ม.ค.,5,เนินพลับหวาน,สุขุมวิท,หนองปรือ,บางละมุง,20,ชลบุรี,20150,038-730705-6,2000000,0,7000000,1000000,10000000,32,12,44,409,22648,832
223,3-14-1/26ชบ,1.02E+13,10795,1400,3,26,บริษัท ธนรัฐรพี จำกัด,บริษัท ธนรัฐรพี จำกัด,ทำน้ำแข็งก้อนเล็ก,408,9,บัวขาว,พัทยากลาง,หนองปรือ,บางละมุง,20,ชลบุรี,20150,429798,0,0,0,0,0,4,2,6,180,1400,300
224,จ3-20(1)-27/66ชบ,2.02E+13,11041,2001,3,66,บริษัท อีสต์ วอเตอร์ สวอน จำกัด,บริษัท อีสต์ วอเตอร์ สวอน จำกัด,ผลิตน้ำดื่ม,โฉนดที่ดินเลขที่ 166316,3,,,ตะเคียนเตี้ย,บางละมุง,20,ชลบุรี,20150,,1000000,3000000,2000000,500000,6500000,5,2,7,178.21,1720,616
225,จ3-27(7)-1/58ชบ,2.02E+13,13113,2707,3,58,ชัยเจริญการเกษตร,ชัยเจริญการเกษตร,ตีเปลือกมะพร้าวเป็นเส้นใย,84/1,1,,สาย 36,หนองปลาไหล,บางละมุง,20,ชลบุรี,20150,038-221067,1000000,1200000,2500000,240000,4940000,10,8,18,194,9600,250
226,จ3-28(1)-20/53ชบ,2.02E+13,14111,2801,3,53,บริษัท คริชม่า โกลฟ จำกัด,บริษัท คริชม่า โกลฟ จำกัด,ผลิตถุงมือทุกชนิด,145/1,6,,,บางละมุง,บางละมุง,20,ชลบุรี,20150,,6000000,1500000,16000000,7500000,31000000,10,18,28,172.68,1100,476
227,จ3-32(1)-1/46ชบ,2.02E+13,14200,3201,3,46,บริษัท กนกเฟอร์นิเจอร์ แอนด์ เดคคอเรชั่น จำกัด,บริษัท กนกเฟอร์นิเจอร์ แอนด์ เดคคอเรชั่น จำกัด,ผลิต ซ่อม ประกอบ ทำเครื่องเรือนจากหนังหรือหนังเทียม,-,1,-,331,เขาไม้แก้ว,บางละมุง,20,ชลบุรี,20150,038-309245,0,0,68000000,30000000,98000000,144,219,363,143,40312,0
228,3-34(1)-12/15ชบ,1.02E+13,16101,3401,3,15,บริษัท อาคเนย์วนกิจชลบุรี จำกัด,บริษัท อาคเนย์วนกิจชลบุรี จำกัด,เลื่อยไม้ (เครื่องจักรใช้สำหรับเลื่อยไม้ 285.5 แรงม้า เครื่องทุ่นแรง 89 แรงม้า),21,1,,สุขุมวิท,นาเกลือ,บางละมุง,20,ชลบุรี,20150,038-221052-3,1200000,1500000,1300000,6000000,10000000,25,22,47,374.5,18380,11750
229,จ3-34(1)-31/61ชบ,2.02E+13,16101,3401,3,61,บริษัท เพกาซัส เว็ลธ จำกัด,บริษัท เพกาซัส เว็ลธ จำกัด,ไส ซอยไม้ ทำเครื่องเรือนเครื่องใช้จากไม้ เช่น ลังไม้,393/242,4,-,-,ตะเคียนเตี้ย,บางละมุง,20,ชลบุรี,20150,,700000,120000,500000,500000,1820000,8,0,8,73,13536,575
230,จ3-34(2)-2/52ชบ,2.02E+13,16220,3402,3,52,,นายสารท นวลเดช,ทำวงกบ ขอบประตู ขอบหน้าต่าง บานประตู บานหน้าต่าง หรือส่วนประกอบที่ทำด้วยไม้,102/17,2,-,-,ตะเคียนเตี้ย,บางละมุง,20,ชลบุรี,20150,,600000,500000,630000,100000,1830000,2,2,4,54.5,,0
231,ศ3-34(2)-3/33ชบ,2.00E+11,16220,3402,3,33,ช. โชคชัยการช่าง,ช. โชคชัยการช่าง,ทำวงกบประตู-หน้าต่างและเครื่องเรือนจากไม้,23/5/2006,6,,สุขุมวิท,นาเกลือ,บางละมุง,20,ชลบุรี,20150,423540,0,0,800000,200000,1000000,5,0,5,92.5,2450,675
232,จ3-34(3)-12/59ชบ,2.02E+13,16210,3403,3,59,บริษัท ภัทรดนัยแพคกิ้ง จำกัด,บริษัท ภัทรดนัยแพคกิ้ง จำกัด,ทำไม้วีเนียร์ ไม้อัด ทำเครื่องตกแต่งภายในอาคารจากไม้ ทำแท่นรองรับสินค้า ลังไม้,โฉนดที่ดินเลขที่ 34812,7,,,หนองปรือ,บางละมุง,20,ชลบุรี,20150,038-195100,5000000,1500000,3000000,5000000,14500000,13,13,26,492.43,5600,506
233,จ3-34(4)-55/61ชบ,2.02E+13,16299,3404,3,61,บริษัท คิวซี รีไซเคิล จำกัด,บริษัท คิวซี รีไซเคิล จำกัด,บดย่อยเศษไม้ เช่น ชิ้นส่วนเครื่องใช้เฟอร์นิเจอร์ชำรุด ที่รองรับสินค้า (พาเลท) ไม้ที่ชำรุด เปลือกไม้ เศษไม้อัด MDF,น.ส.3ข. เลขที่ 422,4,,,ตะเคียนเตี้ย,บางละมุง,20,ชลบุรี,20150,038-110278,5000000,15000000,5000000,500000,25500000,9,3,12,427.5,19200,615
234,จ3-36(1)-15/63ชบ,2.02E+13,16230,3601,3,63,บริษัท ศรีฆเณศ อินเตอร์วู้ด จำกัด,บริษัท ศรีฆเณศ อินเตอร์วู้ด จำกัด,ผลิตเครื่องใช้จากไม้ เช่น ที่รองรับสินค้าหรือพาเลทไม้ ลังไม้,78/14,4,,,ตะเคียนเตี้ย,บางละมุง,20,ชลบุรี,20150,033-000335,6000000,15000000,1000000,1000000,23000000,13,7,20,109.69,9952,2361
235,จ3-36(1)-1/43ชบ,2.02E+13,16230,3601,3,43,บริษัท ไทย โยอิ จำกัด,บริษัท ไทย โยอิ จำกัด,ทำสิ่งรองรับสิ่งของ (แพลเลต),84,1,          -,พัทยา-ระยอง,หนองปลาไหล,บางละมุง,20,ชลบุรี,20150,223291-2,0,0,1000000,1000000,2000000,13,7,20,99.5,8000,600
236,จ3-36(1)-2/62ชบ,2.02E+13,16230,3601,3,62,บริษัท บูรพาณิชย์ จำกัด,บริษัท บูรพาณิชย์ จำกัด,ผลิตที่รองรับสินค้าหรือพาเลทที่ทำมาจากไม้,โฉนดที่ดินเลขที่ 218277,4,,,ตะเคียนเตี้ย,บางละมุง,20,ชลบุรี,20150,081-1763499,8000000,4000000,2000000,1000000,15000000,25,15,40,195,2400,494
237,จ3-36(1)-2/56ชบ,2.02E+13,16230,3601,3,56,-,นางสาวสายนภา อาสนไพบูลย์,ทำแท่นรองรับสินค้า ลังไม้ เครื่องเรือนเครื่องใช้จากไม้แปรรูป,-,3,,,ตะเคียนเตี้ย,บางละมุง,20,ชลบุรี,20150,,500000,1400000,700000,200000,2800000,12,0,12,102,11217,480
238,จ3-36(1)-28/61ชบ,2.02E+13,16230,3601,3,61,บริษัท จินจงฟา อุตสาหกรรมกระดาษ จำกัด,บริษัท จินจงฟา อุตสาหกรรมกระดาษ จำกัด,ประกอบภาชนะบรรจุภัณฑ์จากไม้และกระดาษ,149,2,,,ตะเคียนเตี้ย,บางละมุง,20,ชลบุรี,20150,,0,0,20000000,50000000,70000000,20,4,24,7798.8,80200,13833
239,จ3-37-411/48ชบ,2.02E+13,31001,3700,3,48,บริษัท กนกเฟอร์นิเจอร์ แอนด์ เดคคอเรชั่น จำกัด,บริษัท กนกเฟอร์นิเจอร์ แอนด์ เดคคอเรชั่น จำกัด,โรงงานทำเครื่องเรือน หรือเครื่องตกแต่งภายในอาคารจากไม้,43/33,1,,,เขาไม้แก้ว,บางละมุง,20,ชลบุรี,20150,038-309252,25265000,25735000,30000000,30000000,111000000,115,35,150,535.5,0,4992
240,จ3-37-110/50ชบ,2.02E+13,31001,3700,3,50,,นายวิชัย เพชรเจริญชัย,ทำเครื่องเรือนเครื่องใช้ในบ้านเรือนจากไม้,76/7,5,,สุขาภิบาล 1,ห้วยใหญ่,บางละมุง,20,ชลบุรี,20150,08-1949-3194,500000,5000000,500000,200000,6200000,20,0,20,73.85,,0
241,จ3-37-58/57ชบ,2.02E+13,31001,3700,3,57,บริษัท ไอเดียล ดีไซน์ แอนด์ คอนสตรัคชั่น จำกัด,บริษัท ไอเดียล ดีไซน์ แอนด์ คอนสตรัคชั่น จำกัด,ผลิตเฟอร์นิเจอร์จากไม้ เช่น ตู้เสื้อผ้า ตู้ครัว,79/7,1,,,หนองปลาไหล,บางละมุง,20,ชลบุรี,20150,,10000000,0,8000000,2000000,20000000,29,12,41,286.75,2668,1215
242,จ3-37-68/56ชบ,2.02E+13,31001,3700,3,56,บริษัท วู๊ดเพคเกอร์ คาร์เพนเทอรี่ จำกัด,บริษัท วู๊ดเพคเกอร์ คาร์เพนเทอรี่ จำกัด,ทำเครื่องเรือนหรือเครื่องตบแต่งภายในอาคาร บานหน้าต่าง บานประตูจากไม้,86/28,4,,นาวังซอย 7,ตะเคียนเตี้ย,บางละมุง,20,ชลบุรี,20150,,0,0,2500000,2000000,4500000,22,0,22,140.98,5852,1099
243,จ3-37-82/62ชบ,2.02E+13,31001,3700,3,62,บริษัท พี.เอฟ.ครีเอทีฟ ดีไซน์ จำกัด,บริษัท พี.เอฟ.ครีเอทีฟ ดีไซน์ จำกัด,ผลิตเครื่องเรือนจากไม้ เฟอร์นิเจอร์ โต๊ะ ตู้ เตียง เก้าอี้,88/8,6,,,ห้วยใหญ่,บางละมุง,20,ชลบุรี,20150,,10000000,0,5000000,3000000,18000000,22,14,36,320,7077,4111
244,จ3-37-233/57ชบ,2.02E+13,31001,3700,3,57,-,นายวิชัย เพชรเจริญชัย,ทำเครื่องเรือนเครื่องใช้ในบ้านเรือนจากไม้,76/7,5,,,ห้วยใหญ่,บางละมุง,20,ชลบุรี,20150,081-9493194,500000,5000000,500000,200000,6200000,20,0,20,73.85,7412,720
245,จ3-39-14/64ชบ,2.02E+13,17020,3900,3,64,บริษัท เจวาย แพ็คกิ้ง จำกัด,บริษัท เจวาย แพ็คกิ้ง จำกัด,ผลิตกล่องกระดาษลูกฟูก แผ่นรอง ไส้กล่อง พาเลทไม้,78/28,4,,,ตะเคียนเตี้ย,บางละมุง,20,ชลบุรี,20150,033-00034617,10000000,0,10000000,2000000,22000000,21,18,39,165.5,11092,2760
246,จ3-39-10/51ชบ,2.02E+13,17020,3900,3,51,บริษัท ต้าฟง เปเปอร์ จำกัด,บริษัท ต้าฟง เปเปอร์ จำกัด,บรรจุภัณฑ์จากกระดาษ,137/5,4,,,ตะเคียนเตี้ย,บางละมุง,20,ชลบุรี,20150,,12000000,0,50000000,20000000,82000000,25,10,35,541.5,7992,1620
247,จ3-40(1)-2/63ชบ,2.02E+13,23991,4001,3,63,บริษัท ไลฟ์ เปเปอร์ จำกัด,บริษัท ไลฟ์ เปเปอร์ จำกัด,อัดกระดาษ,18,4,,,ตะเคียนเตี้ย,บางละมุง,20,ชลบุรี,20150,,0,715000,10000000,20000000,30715000,20,2,22,785,10500,5500
248,จ3-40(1)-1/44ชบ,2.02E+13,23991,4001,3,44,บริษัท พัทยา เปเปอร์มิลล์ จำกัด,บริษัท พัทยา เปเปอร์มิลล์ จำกัด,คัดแยก อัด กระดาษ พลาสติก เหล็ก วัสดุฯ,18,2,,,ตะเคียนเตี้ย,บางละมุง,20,ชลบุรี,20150,,300000,1000000,1600000,2000000,4900000,6,0,6,90,6000,486
249,จ3-40(1)-13/49ชบ,2.02E+13,17092,4001,3,49,บริษัท เปเปอร์พาณิชย์ รีไซเคิล จำกัด,บริษัท เปเปอร์พาณิชย์ รีไซเคิล จำกัด,อัดกระดาษและคัดแยกสิ่งปฏิกูลที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,3-มิ.ย.,4,,,ตะเคียนเตี้ย,บางละมุง,20,ชลบุรี,20150,,2000000,2000000,2000000,500000,6500000,4,4,8,575,8307,2000
250,จ3-40(1)-12/61ชบ,2.02E+13,23991,4001,3,61,บริษัท พอล แอนด์ โค (ประเทศไทย) จำกัด,บริษัท พอล แอนด์ โค (ประเทศไทย) จำกัด,ผลิตแกนกระดาษและกระดาษฉาก,59/18,4,,,ตะเคียนเตี้ย,บางละมุง,20,ชลบุรี,20150,038-170422,85000000,20215000,155000000,136000000,396215000,47,5,52,487.52,32344,9579
251,จ3-40(1)-6/65ชบ,2.02E+13,17092,4001,3,65,บริษัท ไทย เอ็มเอสเทรดดิ้ง จำกัด,บริษัท ไทย เอ็มเอสเทรดดิ้ง จำกัด,อัดก้อนกระดาษ,7-มิ.ย.,4,,,ตะเคียนเตี้ย,บางละมุง,20,ชลบุรี,20150,,0,50000000,10000000,50000000,110000000,20,6,26,450,11408,3117
252,จ3-40(1)-11/44ชบ,2.02E+13,23991,4001,3,44,บริษัท พัทยา เปเปอร์มิลล์ จำกัด,บริษัท พัทยา เปเปอร์มิลล์ จำกัด,ซ่อมแซมแปรสภาพภาชนะบรรจุ เช่น ถังโลหะ พลาสติก กระดาษ,195/3,6,     -,สุขุมวิท,นาเกลือ,บางละมุง,20,ชลบุรี,20150,      -,700000,0,1500000,3000000,5200000,7,0,7,202,2000,1105
253,จ3-41(2)-1/44ชบ,2.02E+13,28230,4102,3,44,บริษัท พีพี เอ.เจ.(1999) จำกัด,บริษัท พีพี เอ.เจ.(1999) จำกัด,ผลิตแม่พิมพ์และปั๊มชิ้นงานโลหะสำหรับรถยนต์,95/5,4,วัดสันติคาม,สายสามสิบหก,หนองปลาไหล,บางละมุง,20,ชลบุรี,20150,038-240820,12000000,3000000,2000000,3000000,20000000,84,28,112,912.17,3768,1875
254,จ3-41(2)-31/51ชบ,2.02E+13,18121,4102,3,51,บริษัท เปเปอร์มิลล์ กรุ๊ป จำกัด,บริษัท เปเปอร์มิลล์ กรุ๊ป จำกัด,ทำแม่พิมพ์โลหะสำหรับเครื่องอัดกระดาษ เครื่องย่อยพลาสติก อัดกระดาษ และอัดโลหะ,84/7,1,,สาย 36,หนองปลาไหล,บางละมุง,20,ชลบุรี,20150,,5000000,13000000,7000000,3000000,28000000,7,2,9,177,20800,1800
255,จ3-41(2)-19/56ชบ,2.02E+13,28230,4102,3,56,บริษัท สุภาวุฒิ อินดัสทรี จำกัด,บริษัท สุภาวุฒิ อินดัสทรี จำกัด,ทำแม่พิมพ์โลหะ,44/2,8,,,โป่ง,บางละมุง,20,ชลบุรี,20150,038-227301-2,9526326,8353364,69634214,45000000,132513904,10,0,10,428.53,16076,1440
256,3-48(11)-1/41ชบ,1.02E+13,22199,4811,3,41,บริษัท เทอร์มาเฟลกซ์ อินซูเลชั่น เอเซีย จำกัด,บริษัท เทอร์มาเฟลกซ์ อินซูเลชั่น เอเซีย จำกัด,ผลิตฉนวนกันความร้อนและความเย็นชนิดโพลีเอธิลีน,10,12,,ชัยพรวิถี,หนองปรือ,บางละมุง,20,ชลบุรี,20150,038-249000-2,14004669,0,0,16000000,30004669,20,2,22,442.19,22400,1500
257,จ3-50(4)-37/65ชบ,2.02E+13,19201,5004,3,65,บริษัท คริสเตียนีและนีลเส็น (ไทย) จำกัด (มหาชน),บริษัท คริสเตียนีและนีลเส็น (ไทย) จำกัด (มหาชน),ผลิตแอสฟัลต์ติกคอนกรีต,โฉนดที่ดินเลขที่ 51759,4,,,ตะเคียนเตี้ย,บางละมุง,20,ชลบุรี,20150,,4000000,30000000,12000000,5000000,51000000,10,3,13,421.5,10971,357
258,จ3-50(4)-1/45ชบ,2.02E+13,19209,5004,3,45,บริษัท วีแอล เน็ตเวอร์ค 1996 จำกัด,บริษัท วีแอล เน็ตเวอร์ค 1996 จำกัด,ผลิตแอสฟัสท์ติคคอนกรีต,122/1,4,     -,     -,หนองปลาไหล,บางละมุง,20,ชลบุรี,20150,081-9269122,0,0,0,0,0,7,0,7,427.4,3200,0
259,จ3-51-5/51ชบ,2.02E+13,22112,5100,3,51,บริษัท แอดวานซ์ สยามไทร์ จำกัด,บริษัท แอดวานซ์ สยามไทร์ จำกัด,ผลิต ซ่อม หล่อดอกยางนอกหรือยางในสำหรับยานพาหนะ,81/2,5,,,บางละมุง,บางละมุง,20,ชลบุรี,20150,,2500000,60000,5500000,1400000,9460000,10,2,12,211.02,,0
260,จ3-51-1/62ชบ,2.02E+13,22112,5100,3,62,บริษัท เฟยเยวีย รับเบอร์ รีไซเคิล (ประเทศไทย) จำกัด,บริษัท เฟยเยวีย รับเบอร์ รีไซเคิล (ประเทศไทย) จำกัด,ผลิต ซ่อม หล่อดอกยางนอกหรือยางในสำหรับยานพาหนะ,19/34,4,,,เขาไม้แก้ว,บางละมุง,20,ชลบุรี,20150,081-0343850,6000000,6000000,350000,3000000,15350000,15,7,22,231.54,6072,1990
261,จ3-51-1/39ชบ,2.02E+13,22112,5100,3,39,บริษัท รุ่งเรืองบูรพา จำกัด,บริษัท รุ่งเรืองบูรพา จำกัด,ซ่อม หล่อดอกยางสำหรับยานพาหนะ,-,2,,ชลบุรี-ระยอง (สาย 36),โป่ง,บางละมุง,20,ชลบุรี,20150,422815,2500000,5000000,4800000,5000000,17300000,12,4,16,108.32,3200,450
262,จ3-52(2)-3/66ชบ,2.02E+13,22191,5202,3,66,บริษัท สุรศักดิ์ รับเบอร์ จำกัด,บริษัท สุรศักดิ์ รับเบอร์ จำกัด,หั่น ตัด บด รีดยาง ,โฉนดที่ดินเลขที่ 163382,4,,,ตะเคียนเตี้ย,บางละมุง,20,ชลบุรี,20150,,0,10000000,8000000,5000000,23000000,30,7,37,450.27,40728,2346
263,จ3-52(4)-4/65ชบ,2.02E+13,22199,5204,3,65,บริษัท สยามมิตซุย เทคโนโลยี จำกัด,บริษัท สยามมิตซุย เทคโนโลยี จำกัด,ทำผลิตภัณฑ์จากยาง เช่น ยางแผ่น อัดเศษโลหะ,74/6,4,,,นาเกลือ,บางละมุง,20,ชลบุรี,20150,,0,20000000,8000000,60000000,88000000,30,7,37,370,17600,540
264,จ3-52(4)-10/61ชบ,2.02E+13,22199,5204,3,61,บริษัท บูรพา รับเบอร์ อินดัสตรี จำกัด,บริษัท บูรพา รับเบอร์ อินดัสตรี จำกัด,ทำผลิตภัณฑ์จากยาง,148/2,4,,,หนองปลาไหล,บางละมุง,20,ชลบุรี,20150,086-3059209,0,110000,5000000,1000000,6110000,16,15,31,195,600,600
265,3-52(4)-4/62ชบ,1.02E+13,22199,5204,3,62,บริษัท เทรเชอร์ โปรดักส์ จำกัด,บริษัท เทรเชอร์ โปรดักส์ จำกัด,ผลิตเครื่องนอนสำเร็จรูปจากยางพารา,99/1,9,,,ห้วยใหญ่,บางละมุง,20,ชลบุรี,20150,21367082,110000000,400000000,100000000,180000000,790000000,129,129,258,4348.94,57980,10605
266,จ3-52(4)-20/63ชบ,2.02E+13,22199,5204,3,63,บริษัท จีทีไอ อินเตอร์เทรด จำกัด,บริษัท จีทีไอ อินเตอร์เทรด จำกัด,ผลิตถุงมือยาง เช่น ถุงมือยางทางการแพทย์ และถุงมือยางทั่วไป,141/3,4,,,ตะเคียนเตี้ย,บางละมุง,20,ชลบุรี,20150,,15000000,10000000,8000000,2000000,35000000,60,35,95,471.6,32220,2088
267,จ3-53(1)-71/49ชบ,2.02E+13,22210,5301,3,49,บริษัท สมบัติพลาสติก จำกัด,บริษัท สมบัติพลาสติก จำกัด,ฉีดพลาสติก,,3,,,ห้วยใหญ่,บางละมุง,20,ชลบุรี,20150,038-239977,2500000,8600000,5500000,700000,17300000,18,14,32,293.14,1600,420
268,จ3-53(1)-62/62ชบ,2.02E+13,22210,5301,3,62,บริษัท วาซิน เทค จำกัด,บริษัท วาซิน เทค จำกัด,ผลิตผลิตภัณฑ์พลาสติก และชิ้นส่วนเครื่องใช้ไฟฟ้าจากโลหะ,39/34,4,,,ตะเคียนเตี้ย,บางละมุง,20,ชลบุรี,20150,,0,21000000,60000000,10000000,91000000,70,30,100,1932.85,37912,18806
269,จ3-53(1)-8/65ชบ,2.02E+13,22291,5301,3,65,บริษัท ทีเคเจ เทค จํากัด,บริษัท ทีเคเจ เทค จํากัด,ผลิตภาดหลุมพลาสติก,49/6,3,,,เขาไม้แก้ว,บางละมุง,20,ชลบุรี,20150,,12500000,5500000,3000000,2000000,23000000,23,11,34,121.16,4800,1221
270,จ3-53(1)-44/49ชบ,2.02E+13,22210,5301,3,49,บริษัท สยามโพลิเมอร์ แมนเนจเมนต์ จำกัด,บริษัท สยามโพลิเมอร์ แมนเนจเมนต์ จำกัด,ทำผลิตภัณฑ์พลาสติก,62/1,5,,,หนองปลาไหล,บางละมุง,20,ชลบุรี,20150,,700000,5000000,3000000,150000,8850000,12,2,14,556.33,8400,560
